epoch: 1 loss: tensor(2.5353, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.0763, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.5353, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(107.5028, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7305, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(3.7364, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3103, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.7364, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(345.2121, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1878, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(3.1365, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4267, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.1365, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(113.8565, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2042, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.1475, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2494, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1475, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1709.0774, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0475, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.1874, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.2737, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.1874, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(143.5083, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9659, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(1.4973, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.1045, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4973, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(772.4635, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9389, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.0987, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2130, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.0987, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(84.4004, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9642, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(3.4871, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.5211, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.4871, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(150.5827, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3748, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(1.3924, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1270, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3924, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(57.9247, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9783, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.5977, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.9827, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.5977, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(284.7673, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8326, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.2647, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.7081, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2647, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(843.6346, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4117, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.2940, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2701, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.2940, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(526.4030, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1073, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.4005, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2998, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4005, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3163.1140, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0904, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(5.2796, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1081, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(5.2796, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1459.4203, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9230, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(5.7464, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3435, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(5.7464, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(137.5071, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0698, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(7.7729, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.0180, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(7.7729, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(143.7426, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.7646, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(0.8170, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2660, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8170, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(275.9211, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0308, device='cuda:0', grad_fn=<MseLossBackward0>)
