
epoch: 43 loss: tensor(0.8698, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9277, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8698, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8698, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21086560., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9234, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 44 loss: tensor(1.1022, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8502, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1022, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1022, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21144016., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8457, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 45 loss: tensor(1.0192, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1733, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0192, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0192, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21133676., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1689, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 46 loss: tensor(1.3283, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2047, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3283, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3283, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21075992., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2002, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 47 loss: tensor(0.8429, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9271, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8429, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8429, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21133746., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9226, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 48 loss: tensor(0.8551, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9931, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8551, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8551, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21132176., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9884, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 49 loss: tensor(1.4090, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0869, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4090, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4090, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21147232., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0825, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 50 loss: tensor(1.0250, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0037, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0250, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0250, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21111812., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9991, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 51 loss: tensor(1.0369, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0321, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0369, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0369, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21140780., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0276, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 52 loss: tensor(1.5995, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1275, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5995, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.5995, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21114946., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1230, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 53 loss: tensor(0.6415, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7869, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.6415, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6415, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21114050., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7824, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 54 loss: tensor(1.3427, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1337, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1383.2305, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.3427, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.3427, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(21120368., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1292, device='cuda:0', grad_fn=<MseLossBackward0>)
