epoch: 1 loss: tensor(769.2026, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6003, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(769.2026, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(6305.9448, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.4834, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(781.9639, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4424, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(781.9639, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(3595.0400, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4923, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(752.1518, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2847, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(752.1518, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(14022.6162, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.4960, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(706.0175, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0389, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(706.0175, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(16244.7471, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0562, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(755.7618, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0922, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(755.7618, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4061.6165, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0384, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(743.2184, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7853, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(743.2184, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4994.9673, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.7576, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(782.9114, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5730, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(782.9114, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(10932.9824, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7028, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(683.9406, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7423, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(683.9406, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(10518.1660, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.7510, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(704.2449, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.5599, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(704.2449, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(4901.1143, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.4249, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(706.3831, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8921, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(706.3831, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(971.7750, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.4227, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(674.4801, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7407, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(674.4801, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(10546.9111, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.4824, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(742.3011, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(2.4747, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(742.3011, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(6788.6812, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0126, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(740.6901, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.9504, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(740.6901, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(13393.3809, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.3652, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(683.9818, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7497, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(683.9818, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(5323.8896, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.4747, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(670.5123, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0773, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(670.5123, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(12225.4180, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9606, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(875.6461, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6021, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(875.6461, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22073.5117, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.4988, device='cuda:0', grad_fn=<MseLossBackward0>)
