epoch: 1 loss: tensor(41.6235, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8163, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(41.6235, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7917, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2170, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(21.9664, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.6198, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(21.9664, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4797, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.3538, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(21.2700, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.6432, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(21.2700, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.1190, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9764, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(24.4339, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8625, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(24.4339, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5160, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8188, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(74.3686, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1305, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(74.3686, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4720, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.2356, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(20.6033, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7621, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(20.6033, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0982, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.9541, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(40.9661, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7830, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(40.9661, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.2051, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.1260, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(19.6188, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8735, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(19.6188, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1697, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8035, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(12.6167, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.5027, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(12.6167, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8453, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.5556, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(12.0043, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.8158, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(12.0043, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.4653, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(3.2895, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(27.2804, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1661, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(27.2804, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5375, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.0902, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(70.1189, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9793, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(70.1189, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9508, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.8864, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 1 loss: tensor(23.7289, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.5915, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(23.7289, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.0524, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(nan, device='cuda:0', grad_fn=<MulBackward0>) tensor(2.1088, device='cuda:0', grad_fn=<MseLossBackward0>)
