epoch: 34 loss: tensor(197.1321, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1352, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1321, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7535, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7020, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030652., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1352, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 35 loss: tensor(197.1285, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9673, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1285, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8443, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.7394, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030396., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9674, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 36 loss: tensor(197.1301, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9007, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1301, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9411, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9928, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030316., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9007, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 37 loss: tensor(197.1293, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1562, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1293, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9593, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8635, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030692., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1563, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 38 loss: tensor(197.1306, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2607, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1306, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9559, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0438, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030440., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2608, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 39 loss: tensor(197.1308, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5686, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1308, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9427, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.9073, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030504., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5686, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 40 loss: tensor(197.1323, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5341, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1323, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8575, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1033, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030660., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.5341, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 41 loss: tensor(197.1292, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0570, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1292, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.9881, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2695, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030344., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0570, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 42 loss: tensor(197.1303, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2097, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1303, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8976, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8234, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030544., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2098, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 43 loss: tensor(197.1289, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1263, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1289, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1494, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8304, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030320., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1263, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 44 loss: tensor(197.1304, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1702, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1304, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2678, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.0511, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030604., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1702, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 45 loss: tensor(197.1293, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8818, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1293, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0279, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8712, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030312., device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8818, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 46 loss: tensor(197.1315, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1169, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1315, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2392, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.4446, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030722., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1170, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 47 loss: tensor(197.1295, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2363, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1295, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1004, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8017, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030616., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.2363, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 48 loss: tensor(197.1288, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0733, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1288, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.7895, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(0.8723, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030752., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0733, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 49 loss: tensor(197.1283, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0424, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1283, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8750, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.1117, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030780., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.0425, device='cuda:0', grad_fn=<MseLossBackward0>)
epoch: 50 loss: tensor(197.1315, device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1116, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(197.1315, device='cuda:0', grad_fn=<MulBackward0>) tensor(0.8093, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(1.2595, device='cuda:0', grad_fn=<MseLossBackward0>) tensor(22030728., device='cuda:0', grad_fn=<MulBackward0>) tensor(1.1117, device='cuda:0', grad_fn=<MseLossBackward0>)
